Date,Name,Year,Letterboxd URI,Rating
2024-12-13,She's Gotta Have It,1986,https://boxd.it/1quC,5
2025-02-22,Companion,2025,https://boxd.it/F04o,4.5
2025-03-08,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,https://boxd.it/tbhu,4.5
2025-03-08,The Substance,2024,https://boxd.it/zanS,4
2025-03-08,Barbarian,2022,https://boxd.it/yohi,4
2025-03-08,I Saw the TV Glow,2024,https://boxd.it/woVe,2
2025-03-21,Mickey 17,2025,https://boxd.it/q1Dk,4.5
2025-04-20,Please Don't Destroy: The Treasure of Foggy Mountain,2023,https://boxd.it/BSZg,4.5
2025-04-20,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/z14C,4.5
2025-06-26,Kneecap,2024,https://boxd.it/ILxI,5
2025-07-02,Heretic,2024,https://boxd.it/H1lY,4
2025-08-15,Chime,2024,https://boxd.it/KiS2,3
2025-08-25,The Terminator,1984,https://boxd.it/2aQY,4
2025-08-27,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,4.5
2025-08-29,Weapons,2025,https://boxd.it/EMTM,4.5
2025-09-12,28 Years Later,2025,https://boxd.it/FEGM,4.5
2025-09-20,Fallen Angels,1995,https://boxd.it/1UkW,4.5
2025-09-27,Together,2025,https://boxd.it/LdFE,3.5
2025-09-27,Until Dawn,2025,https://boxd.it/KOb0,3.5
2025-10-15,The Ballad of Wallis Island,2025,https://boxd.it/GqT0,5
2025-11-25,A Real Pain,2024,https://boxd.it/CjNG,5
2025-11-25,Frankenstein,2025,https://boxd.it/Ecsg,4
2025-11-25,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,3
2025-11-25,Sinners,2025,https://boxd.it/KQMM,4.5
2025-11-25,Superman,2025,https://boxd.it/E9IU,2.5
2025-11-25,Nosferatu,2024,https://boxd.it/f5eG,4.5
2025-11-25,Little Women,2019,https://boxd.it/aSVk,1
2025-11-25,The Naked Gun,2025,https://boxd.it/Da9k,1
2025-11-25,Nightcrawler,2014,https://boxd.it/780m,4.5
2025-11-25,Scream,1996,https://boxd.it/24EC,4.5
2025-11-25,Snatch,2000,https://boxd.it/2b7U,4.5
2025-11-25,Thanksgiving,2023,https://boxd.it/EviY,2
2025-11-25,John Wick,2014,https://boxd.it/7dEc,4
2025-11-25,Misery,1990,https://boxd.it/28gY,5
2025-11-25,The Mummy,1999,https://boxd.it/2a7a,4
2025-11-26,Idiocracy,2006,https://boxd.it/20RW,3
2025-11-30,Bugonia,2025,https://boxd.it/qeWY,5
2025-12-03,Inside Out 2,2024,https://boxd.it/CFrC,3
2025-12-10,Luxo Jr.,1986,https://boxd.it/1P7y,5
2025-12-14,Wake Up Dead Man,2025,https://boxd.it/uAKS,2.5
2025-12-18,Toy Story,1995,https://boxd.it/29qA,5
2025-12-25,Tinsel Town,2025,https://boxd.it/SVwK,3
2026-01-01,Friendship,2024,https://boxd.it/L6Dc,4
2026-01-25,28 Years Later: The Bone Temple,2026,https://boxd.it/MwlA,4
2026-02-09,Gerald's Game,2017,https://boxd.it/buKa,4
2026-02-09,Midnight Mass,2021,https://boxd.it/wvVA,5
